id,age,capital-gain,capital-loss,hours-per-week,class
82,37,0,0,20,<=50K
83,34,0,0,32,<=50K
84,40,0,0,35,<=50K
85,19,0,0,40,<=50K
86,21,0,0,40,<=50K
87,36,3325,0,40,<=50K
88,46,0,0,40,<=50K
89,51,0,0,55,>50K
90,27,0,0,40,<=50K
91,50,7298,0,56,>50K
92,31,0,0,40,<=50K
93,34,0,0,40,<=50K
94,32,0,0,40,<=50K
95,41,0,0,12,<=50K
96,54,0,0,40,>50K
97,34,0,0,41,<=50K
98,28,0,0,50,<=50K
99,17,0,0,13,<=50K
100,22,0,0,40,<=50K
101,47,0,0,40,>50K
102,34,0,0,35,<=50K
103,45,2885,0,60,<=50K
104,58,0,0,40,<=50K
105,75,0,0,16,<=50K
106,18,0,0,15,<=50K
107,45,0,0,40,<=50K
108,32,0,0,40,<=50K
109,34,0,0,63,<=50K
110,34,0,0,66,<=50K
111,49,0,0,40,<=50K
112,18,0,0,40,<=50K
113,41,0,0,40,<=50K
114,41,0,0,45,<=50K
115,30,0,0,40,<=50K
116,17,0,0,20,<=50K
117,58,3411,0,80,<=50K
118,19,0,0,40,<=50K
119,35,0,0,50,<=50K
120,44,0,0,36,>50K
121,28,0,0,40,<=50K
122,42,0,0,40,<=50K
123,45,0,0,45,<=50K
124,25,0,0,40,<=50K
125,40,0,0,40,<=50K
126,20,0,0,20,<=50K
127,27,0,0,40,<=50K
128,59,0,0,48,<=50K
129,18,0,0,20,<=50K
130,27,3464,0,35,<=50K
131,47,0,0,70,<=50K
132,67,0,2392,24,>50K
133,33,0,0,44,<=50K
134,63,0,0,30,<=50K
135,40,0,0,40,<=50K
136,30,0,0,40,<=50K
137,28,0,1485,40,<=50K
138,28,0,0,40,<=50K
139,49,0,0,35,<=50K
140,20,0,0,25,<=50K
141,49,0,0,41,>50K
142,18,0,0,40,<=50K
143,28,0,0,40,<=50K
144,45,0,0,37,<=50K
145,57,0,0,38,<=50K
146,35,0,1977,65,>50K
147,66,0,0,16,<=50K
148,47,0,0,35,>50K
149,57,0,0,40,>50K
150,25,0,0,48,<=50K
151,35,0,0,40,<=50K
152,23,0,0,40,<=50K
153,29,0,0,40,<=50K
154,18,0,0,40,<=50K
155,23,0,0,40,<=50K
156,22,0,0,37,<=50K
157,30,0,2051,40,<=50K
158,26,0,0,40,>50K
159,52,0,0,40,>50K
160,30,0,0,38,<=50K
161,36,0,0,30,<=50K
162,34,0,0,40,<=50K
163,59,0,0,40,<=50K
164,26,0,0,10,<=50K
165,22,0,0,24,<=50K
166,47,0,0,45,<=50K
167,65,2538,0,50,<=50K
168,50,0,0,40,>50K
169,50,7298,0,40,>50K
170,29,0,0,50,>50K
171,58,0,0,20,<=50K
172,56,0,0,45,<=50K
173,22,0,0,60,<=50K
174,34,3411,0,80,<=50K
175,45,7298,0,40,>50K
176,30,2354,0,40,<=50K
177,40,0,0,45,>50K
178,52,0,0,20,<=50K
179,44,0,0,45,<=50K
180,44,0,0,20,<=50K
181,27,0,0,60,<=50K
182,24,0,0,44,<=50K
183,28,0,0,45,<=50K
184,40,0,0,72,>50K
185,67,0,0,40,>50K
186,49,0,0,40,>50K
187,36,0,0,40,<=50K
188,17,0,0,40,<=50K
189,51,99999,0,60,>50K
190,72,0,0,30,<=50K
191,21,0,0,20,<=50K
192,59,0,0,40,<=50K
193,32,0,0,40,<=50K
194,21,0,0,50,<=50K
195,29,0,0,40,<=50K
196,29,0,0,44,<=50K
197,59,0,0,40,>50K
198,23,0,0,55,<=50K
199,67,0,0,12,<=50K
200,26,0,0,38,<=50K
201,35,0,0,40,<=50K
202,41,0,0,40,<=50K
203,31,0,0,40,<=50K
204,29,0,0,40,<=50K
205,19,0,0,15,<=50K
206,23,0,0,40,<=50K
207,31,0,0,50,<=50K
208,80,0,0,35,<=50K
209,22,0,0,30,<=50K
210,67,0,1510,8,<=50K
211,46,0,0,40,<=50K
212,35,0,0,40,<=50K
213,32,0,0,40,>50K
214,44,0,0,33,<=50K
215,24,0,0,40,<=50K
216,46,0,1902,40,>50K
217,52,15024,0,44,>50K
218,24,0,0,40,<=50K
219,31,0,0,35,<=50K
220,59,0,0,40,<=50K
221,35,5013,0,40,<=50K
222,33,0,0,40,<=50K
223,34,7298,0,46,>50K
224,76,0,0,40,<=50K
225,41,0,0,40,<=50K
226,33,0,0,40,<=50K
227,47,0,0,40,<=50K
228,65,0,1944,20,<=50K
229,65,0,0,40,<=50K
230,45,0,0,40,<=50K
231,22,0,0,40,<=50K
232,36,0,0,50,>50K
233,66,0,0,32,<=50K
234,64,0,0,70,<=50K
235,47,15024,0,50,>50K
236,38,0,0,30,<=50K
237,25,0,0,40,<=50K
238,44,7688,0,40,>50K
239,66,0,0,50,<=50K
240,33,0,1876,50,<=50K
241,64,0,0,40,<=50K
242,17,0,0,35,<=50K
243,26,0,0,40,<=50K
244,43,0,0,20,<=50K
245,40,0,0,40,<=50K
246,43,15024,0,50,>50K
247,24,0,0,40,<=50K
248,72,3818,0,4,<=50K
249,68,0,0,15,<=50K
250,51,0,0,50,<=50K
251,21,0,0,44,<=50K
252,18,0,0,30,<=50K
253,36,0,0,40,<=50K
254,48,0,0,48,>50K
255,32,0,0,40,>50K
256,75,0,0,50,<=50K
257,25,0,0,40,<=50K
258,42,7298,0,40,>50K
259,17,0,0,20,<=50K
260,70,2538,0,45,<=50K
261,32,0,0,50,<=50K
262,34,0,0,40,>50K
263,54,0,0,40,<=50K
264,24,0,0,40,<=50K
265,46,0,0,50,<=50K
266,44,0,0,48,<=50K
267,56,0,0,40,>50K
268,39,0,0,30,<=50K
269,46,0,0,40,<=50K
270,35,0,0,60,<=50K
271,39,0,1848,47,>50K
272,25,0,0,35,<=50K
273,18,0,0,30,<=50K
274,50,0,0,40,>50K
275,43,4650,0,40,<=50K
276,38,0,0,32,<=50K
277,26,0,0,40,<=50K
278,48,0,0,40,>50K
279,42,0,0,40,>50K
280,22,0,0,30,<=50K
281,20,0,0,50,<=50K
282,27,0,0,50,<=50K
283,31,0,0,40,<=50K
284,54,0,0,40,<=50K
285,38,0,0,40,>50K
286,53,0,0,2,<=50K
287,51,0,0,40,<=50K
288,54,0,0,40,>50K
289,54,0,0,80,<=50K
290,64,0,0,39,<=50K
291,48,0,0,20,<=50K
292,19,0,0,15,<=50K
293,52,0,0,50,<=50K
294,34,0,0,50,<=50K
295,39,0,0,50,<=50K
296,51,0,0,40,>50K
297,48,0,0,40,>50K
298,42,0,0,65,<=50K
299,38,0,0,55,>50K
300,40,0,0,40,<=50K
301,37,0,0,45,<=50K
302,60,0,0,12,<=50K
303,60,0,0,65,<=50K
304,59,0,0,40,<=50K
305,30,0,0,41,<=50K
306,47,0,0,40,<=50K
307,42,7298,0,40,>50K
308,32,0,0,60,<=50K
309,23,0,0,40,<=50K
310,27,0,0,40,<=50K
311,55,0,0,38,<=50K
312,39,0,0,50,<=50K
313,33,0,0,50,<=50K
314,30,0,0,45,<=50K
315,81,0,0,20,<=50K
316,41,3887,0,40,<=50K
317,38,0,0,40,<=50K
318,54,8614,0,40,>50K
319,38,0,0,41,>50K
320,22,0,0,35,<=50K
321,44,0,0,55,>50K
322,36,0,0,38,<=50K
323,32,0,0,35,>50K
324,22,0,0,40,<=50K
325,45,0,0,40,<=50K
326,32,0,0,80,<=50K
327,30,0,0,40,<=50K
328,34,0,0,32,<=50K
329,36,0,0,40,<=50K
330,21,0,0,40,<=50K
331,40,0,0,60,<=50K
332,42,0,0,35,<=50K
333,52,15024,0,50,>50K
334,50,0,0,38,>50K
335,48,0,0,40,>50K
336,63,0,1408,40,<=50K
337,27,0,0,30,<=50K
338,31,0,0,40,<=50K
339,22,0,0,44,<=50K
340,45,0,0,60,>50K
341,35,0,0,52,>50K
342,54,0,0,40,<=50K
343,23,0,0,11,<=50K
344,51,15024,0,40,>50K
345,71,0,0,40,<=50K
346,50,0,0,40,>50K
347,36,0,0,45,<=50K
348,47,0,0,40,<=50K
349,38,1506,0,50,<=50K
350,29,10520,0,50,>50K
351,59,0,0,40,<=50K
352,27,0,0,40,<=50K
353,42,0,0,40,<=50K
354,31,0,0,40,<=50K
355,44,0,1485,40,>50K
356,47,0,0,45,<=50K
357,23,0,0,15,<=50K
358,24,0,0,35,<=50K
359,46,0,0,55,>50K
360,35,0,0,40,<=50K
361,36,0,0,42,<=50K
362,37,0,0,50,<=50K
363,20,0,0,10,<=50K
364,59,4650,0,37,<=50K
365,17,0,0,15,<=50K
366,36,0,0,40,<=50K
367,57,0,0,40,>50K
368,28,99999,0,40,>50K
369,43,0,0,50,<=50K
370,49,15024,0,40,>50K
371,50,4386,0,40,>50K
372,69,3456,0,30,<=50K
373,57,0,0,40,<=50K
374,49,0,0,40,>50K
375,48,0,0,45,<=50K
376,61,0,0,60,>50K
377,51,0,0,40,<=50K
378,41,0,0,40,>50K
379,60,0,0,40,<=50K
380,40,0,0,38,<=50K
381,36,0,0,40,<=50K
382,17,0,0,20,<=50K
383,50,0,1590,25,<=50K
384,24,0,0,40,<=50K
385,70,0,0,40,<=50K
386,29,0,0,40,<=50K
387,20,0,0,25,<=50K
388,36,0,0,50,<=50K
389,35,0,0,37,<=50K
390,34,0,0,40,<=50K
391,18,0,0,20,<=50K
392,40,0,0,40,<=50K
393,51,0,0,40,<=50K
394,29,0,0,50,>50K
395,24,0,0,40,<=50K
396,50,0,0,50,<=50K
397,38,3908,0,50,<=50K
398,28,0,0,45,<=50K
399,57,0,0,40,<=50K
400,49,0,0,40,>50K
401,46,0,0,45,>50K
402,47,0,0,50,<=50K
403,22,0,0,35,<=50K
404,37,0,0,40,<=50K
405,39,0,0,35,<=50K
406,24,0,0,20,<=50K
407,31,0,0,30,<=50K
408,20,0,0,37,<=50K
409,36,0,0,40,>50K
410,29,0,0,40,<=50K
411,42,0,0,55,>50K
412,67,0,0,18,<=50K
413,47,0,0,40,>50K
414,35,0,0,60,>50K
415,42,0,0,35,<=50K
416,32,0,0,40,<=50K
417,44,0,0,40,<=50K
418,42,0,0,40,<=50K
419,17,0,0,12,<=50K
420,50,0,0,40,<=50K
421,46,0,0,23,<=50K
422,39,0,0,60,>50K
423,25,0,0,40,<=50K
424,19,0,0,20,<=50K
425,46,0,0,40,<=50K
426,37,7688,0,40,>50K
427,24,0,0,40,<=50K
428,45,0,0,40,<=50K
429,90,0,0,99,<=50K
430,45,0,0,40,<=50K
431,41,0,1902,72,>50K
432,29,0,0,35,<=50K
433,53,0,0,40,<=50K
434,21,0,0,60,<=50K
435,45,0,0,60,>50K
436,38,0,0,21,>50K
437,43,0,2002,44,<=50K
438,53,0,0,40,>50K
439,22,0,0,50,<=50K
440,44,0,0,50,<=50K
441,40,0,1977,60,>50K
442,67,0,0,40,<=50K
443,58,0,0,35,>50K
444,23,0,0,38,<=50K
445,31,0,0,40,<=50K
446,28,0,0,70,<=50K
447,52,0,0,40,<=50K
448,23,0,0,40,<=50K
449,21,0,0,40,<=50K
450,28,0,1902,57,>50K
451,43,0,0,35,>50K
452,36,0,0,30,<=50K
453,27,0,0,40,<=50K
454,56,0,0,40,>50K
455,31,0,0,40,<=50K
456,39,0,0,40,<=50K
457,22,0,0,40,<=50K
458,37,0,0,39,<=50K
459,29,0,0,40,>50K
460,58,0,0,40,<=50K
461,43,0,0,40,<=50K
462,21,0,0,30,<=50K
463,34,0,0,50,>50K
464,56,0,0,40,<=50K
465,43,0,1887,80,>50K
466,44,0,0,45,<=50K
467,45,0,0,40,<=50K
468,33,0,0,40,<=50K
469,40,0,0,40,<=50K
470,66,0,0,20,<=50K
471,27,0,0,30,<=50K
472,65,0,0,35,<=50K
473,20,0,0,32,<=50K
474,18,0,0,20,<=50K
475,45,0,0,38,<=50K
476,55,0,0,60,<=50K
477,43,0,0,40,<=50K
478,21,0,0,35,<=50K
479,28,0,0,40,<=50K
480,23,0,0,40,<=50K
481,28,0,0,40,<=50K
482,21,0,0,43,>50K
483,23,0,0,40,<=50K
484,63,0,0,40,<=50K
485,60,0,0,40,>50K
486,32,3674,0,40,<=50K
487,33,0,0,40,<=50K
488,30,3908,0,40,<=50K
489,68,0,0,25,<=50K
490,53,0,0,45,>50K
491,36,0,1848,40,>50K
492,23,0,0,50,<=50K
493,26,0,0,40,<=50K
494,42,0,1876,38,<=50K
495,20,0,0,40,<=50K
496,53,0,0,45,<=50K
497,36,0,0,40,<=50K
498,47,0,0,40,<=50K
499,35,0,0,40,<=50K
500,32,0,0,40,<=50K
501,41,0,0,45,>50K
502,22,0,0,48,<=50K
503,28,0,1848,40,>50K
504,42,0,0,40,<=50K
505,51,0,0,50,>50K
506,33,0,0,45,>50K
507,22,0,0,45,<=50K
508,60,0,0,33,<=50K
509,50,0,0,60,>50K
510,58,3137,0,16,<=50K
511,22,0,0,60,<=50K
512,47,0,0,45,>50K
513,28,0,1974,50,<=50K
514,38,0,0,60,>50K
515,67,4931,0,30,<=50K
516,76,6514,0,40,>50K
517,41,0,0,55,>50K
518,57,0,0,50,>50K
519,22,0,0,40,<=50K
520,38,0,0,45,<=50K
521,30,0,1977,40,>50K
522,30,0,0,40,>50K
523,27,2202,0,40,<=50K
524,22,0,0,20,<=50K
525,40,15024,0,20,>50K
526,73,0,0,12,<=50K
527,23,2407,0,6,<=50K
528,51,0,1902,60,>50K
529,29,0,0,40,<=50K
530,46,0,0,40,<=50K
531,29,0,0,16,<=50K
532,34,0,0,35,<=50K
533,38,0,0,48,<=50K
534,62,0,0,50,>50K
535,30,0,0,50,<=50K
536,20,0,0,40,<=50K
537,40,0,0,36,<=50K
538,37,0,1980,35,<=50K
539,56,0,0,40,<=50K
540,63,0,0,50,<=50K
541,25,0,0,40,<=50K
542,40,0,0,40,<=50K
543,53,0,0,40,<=50K
544,23,0,0,40,<=50K
545,32,0,0,40,<=50K
546,33,0,0,40,<=50K
547,50,0,0,40,<=50K
548,37,0,0,40,<=50K
549,29,2463,0,15,<=50K
550,28,0,0,40,<=50K
551,46,0,0,40,>50K
552,42,5178,0,40,>50K
553,21,0,0,30,<=50K
554,24,0,0,30,<=50K
555,53,0,0,50,<=50K
556,54,0,0,45,<=50K
557,36,0,0,40,<=50K
558,52,5013,0,40,<=50K
559,71,0,0,25,<=50K
560,36,0,0,40,<=50K
561,52,0,0,40,<=50K
562,38,0,0,48,<=50K
563,56,0,0,40,<=50K
564,52,0,0,40,>50K
565,55,0,0,40,<=50K
566,31,0,0,45,<=50K
567,51,0,0,65,<=50K
568,23,0,0,50,<=50K
569,40,0,0,40,<=50K
570,20,0,0,28,<=50K
571,36,0,0,40,<=50K
572,22,0,0,35,<=50K
573,49,0,0,55,>50K
574,35,15024,0,55,>50K
575,31,0,0,40,<=50K
576,43,0,0,20,<=50K
577,48,0,2002,70,<=50K
578,53,0,0,40,<=50K
579,26,0,1380,40,<=50K
580,35,5013,0,40,<=50K
581,37,0,0,40,<=50K
582,55,0,0,15,<=50K
583,27,0,0,45,<=50K
584,47,0,0,45,<=50K
585,44,0,0,40,>50K
586,47,0,0,45,<=50K
587,24,0,0,45,<=50K
588,23,0,0,70,<=50K
589,37,0,0,32,<=50K
590,32,0,0,60,<=50K
591,43,0,0,38,>50K
592,30,3325,0,40,<=50K
593,36,0,0,40,>50K
594,21,0,0,40,<=50K
595,40,0,0,32,<=50K
596,52,0,0,38,<=50K
597,40,0,0,40,>50K
598,54,0,1902,60,>50K
599,45,0,0,50,<=50K
600,28,0,1974,50,<=50K
601,30,0,0,45,<=50K
602,31,0,0,40,>50K
603,42,0,1564,60,>50K
604,24,0,0,40,<=50K
605,45,0,0,40,>50K
606,51,0,0,45,>50K
607,29,0,0,40,>50K
608,35,0,0,40,<=50K
609,24,0,0,40,<=50K
610,34,0,0,40,<=50K
611,29,0,0,20,<=50K
612,42,0,0,40,>50K
613,19,0,0,20,<=50K
614,33,0,0,55,>50K
615,32,0,0,40,<=50K
616,34,15024,0,45,>50K
617,27,2580,0,40,<=50K
618,36,7298,0,35,>50K
619,39,0,0,48,<=50K
620,33,0,0,40,<=50K
621,48,0,0,35,<=50K
622,27,0,0,40,<=50K
623,33,0,0,40,<=50K
624,28,0,0,40,<=50K
625,17,0,0,16,<=50K
626,38,0,0,44,<=50K
627,28,2105,0,40,<=50K
628,22,0,1602,20,<=50K
629,41,0,1980,40,<=50K
630,42,0,0,40,<=50K
631,36,0,0,60,<=50K
632,37,0,0,40,>50K
633,38,0,0,40,>50K
634,55,0,0,40,<=50K
635,55,0,0,60,>50K
636,36,0,0,40,>50K
637,32,0,0,40,<=50K
638,52,0,0,45,<=50K
639,20,0,0,20,<=50K
640,43,0,0,40,>50K
641,35,0,0,40,<=50K
642,61,0,0,37,<=50K
643,30,0,0,60,<=50K
644,38,0,0,40,>50K
645,31,0,0,40,<=50K
646,21,0,0,40,<=50K
647,28,0,0,40,<=50K
648,57,0,0,50,<=50K
649,19,0,0,40,<=50K
650,18,0,0,45,<=50K
651,34,4508,0,35,<=50K
652,42,0,0,52,<=50K
653,36,0,0,40,>50K
654,33,0,0,40,<=50K
655,32,0,0,40,>50K
656,41,99999,0,60,>50K
657,23,0,0,40,<=50K
658,31,0,0,40,<=50K
659,38,0,0,40,<=50K
660,51,0,0,40,<=50K
661,36,0,0,40,<=50K
662,38,0,0,40,<=50K
663,57,0,0,40,<=50K
664,20,0,0,55,<=50K
665,66,0,0,40,>50K
666,22,0,0,40,<=50K
667,46,0,0,99,>50K
668,38,7298,0,50,>50K
669,63,0,0,40,<=50K
670,43,0,0,60,>50K
671,37,0,0,35,<=50K
672,22,0,0,20,<=50K
673,58,0,0,23,<=50K
674,43,0,0,40,<=50K
675,55,0,0,38,<=50K
676,45,0,0,40,<=50K
677,48,0,0,55,>50K
678,36,4386,0,50,>50K
679,73,0,0,99,<=50K
680,29,0,0,40,<=50K
681,36,0,0,50,>50K
682,57,0,0,50,>50K
683,25,0,0,40,<=50K
684,32,0,1590,40,<=50K
685,34,0,0,40,>50K
686,20,0,0,20,<=50K
687,51,0,0,40,<=50K
688,51,0,2002,40,<=50K
689,45,0,0,48,<=50K
690,68,0,0,35,<=50K
691,73,0,0,40,<=50K
692,18,0,0,20,<=50K
693,35,0,0,40,<=50K
694,58,0,0,40,>50K
695,38,0,0,55,<=50K
696,62,0,0,40,<=50K
697,31,0,0,40,<=50K
698,18,0,0,40,<=50K
699,35,0,0,32,<=50K
700,51,0,0,18,>50K
701,49,0,0,44,>50K
702,51,0,0,55,<=50K
703,28,0,0,40,<=50K
704,21,0,0,48,<=50K
705,32,0,0,40,>50K
706,50,0,0,40,>50K
707,47,0,1887,40,>50K
708,54,0,0,38,<=50K
709,41,0,0,45,<=50K
710,29,0,0,40,<=50K
711,52,0,0,40,<=50K
712,19,0,0,40,<=50K
713,33,0,0,60,>50K
714,37,0,0,55,<=50K
715,62,0,0,15,<=50K
716,27,0,0,40,<=50K
717,46,3103,0,50,>50K
718,45,0,0,50,>50K
719,35,0,1672,40,<=50K
720,32,0,0,45,<=50K
721,32,0,0,60,>50K
722,36,0,0,55,<=50K
723,62,0,0,10,<=50K
724,33,0,0,34,<=50K
725,51,0,0,40,<=50K
726,29,0,0,40,<=50K
727,29,0,0,40,<=50K
728,52,0,2001,32,<=50K
729,33,0,0,40,<=50K
730,32,0,0,40,<=50K
731,35,0,1980,40,<=50K
732,23,0,0,40,<=50K
733,56,0,0,70,<=50K
734,41,0,0,40,<=50K
735,33,0,0,40,<=50K
736,35,0,0,60,>50K
737,76,0,0,20,<=50K
738,38,0,0,50,<=50K
739,42,0,0,40,<=50K
740,45,0,0,50,>50K
741,22,0,0,40,<=50K
742,30,15024,0,65,>50K
743,59,0,0,40,<=50K
744,33,0,0,50,<=50K
745,30,0,0,40,<=50K
746,43,0,0,40,<=50K
747,26,0,0,20,<=50K
748,34,15024,0,60,>50K
749,53,0,0,40,<=50K
750,26,0,0,40,<=50K
751,66,0,0,40,<=50K
752,34,0,0,45,<=50K
753,57,0,0,40,<=50K
754,30,0,0,40,<=50K
755,18,0,0,20,<=50K
756,23,0,0,25,<=50K
757,35,15024,0,50,>50K
758,40,0,0,40,<=50K
759,45,0,0,45,>50K
760,28,0,0,40,<=50K
761,35,0,0,55,>50K
762,17,0,0,40,<=50K
763,51,0,0,60,<=50K
764,47,0,0,30,<=50K
765,27,0,0,25,<=50K
766,24,0,0,48,<=50K
767,52,0,0,40,<=50K
768,20,4416,0,53,<=50K
769,68,0,0,65,<=50K
770,35,0,0,45,>50K
771,53,2174,0,40,<=50K
772,23,0,0,40,<=50K
773,35,0,0,40,<=50K
774,21,0,0,20,<=50K
775,52,0,0,55,<=50K
776,49,0,0,40,>50K
777,42,0,0,50,<=50K
778,35,0,0,37,>50K
779,42,15024,0,40,>50K
780,46,0,0,40,>50K
781,48,0,0,55,<=50K
782,48,0,0,40,>50K
783,52,0,0,46,<=50K
784,51,0,1902,50,>50K
785,44,0,0,80,<=50K
786,74,1409,0,20,<=50K
787,17,0,0,20,<=50K
788,24,0,0,40,<=50K
789,51,0,0,45,<=50K
790,43,0,2415,55,>50K
791,48,0,0,48,<=50K
792,35,0,0,40,<=50K
793,40,0,0,40,<=50K
794,52,0,0,43,<=50K
795,53,0,0,45,>50K
796,29,0,0,40,<=50K
797,28,0,0,80,<=50K
798,33,4064,0,40,<=50K
799,21,0,0,22,<=50K
800,31,0,0,40,<=50K
801,39,0,0,30,>50K
802,44,0,0,30,>50K
803,40,0,0,60,>50K
804,22,0,0,20,<=50K
805,22,0,0,40,<=50K
806,60,0,0,70,<=50K
807,49,0,0,90,<=50K
808,41,0,0,50,<=50K
809,24,0,0,40,<=50K
810,26,0,0,40,<=50K
811,55,0,0,40,<=50K
812,36,0,0,41,<=50K
813,49,0,0,40,<=50K
814,23,0,0,20,<=50K
815,23,0,0,35,<=50K
816,64,0,0,30,>50K
817,50,0,0,50,>50K
818,23,0,0,50,<=50K
819,28,0,0,40,>50K
820,31,0,0,50,<=50K
821,30,0,0,40,<=50K
822,44,0,0,40,<=50K
823,24,0,0,40,<=50K
824,19,0,0,20,<=50K
825,20,0,0,40,<=50K
826,30,0,1902,40,>50K
827,36,0,0,40,<=50K
828,28,0,0,40,<=50K
829,58,0,0,40,>50K
830,48,0,0,40,<=50K
831,35,0,0,55,<=50K
832,53,0,0,30,<=50K
833,55,0,0,40,<=50K
834,24,0,0,40,<=50K
835,28,0,0,40,<=50K
836,31,0,0,45,<=50K
837,23,0,0,40,<=50K
838,22,0,0,40,<=50K
839,77,1455,0,25,<=50K
840,38,0,0,40,<=50K
841,20,0,0,15,<=50K
842,31,0,1977,40,>50K
843,29,0,0,40,<=50K
844,20,0,0,40,<=50K
845,62,0,0,20,<=50K
846,28,0,0,54,<=50K
847,49,0,0,40,<=50K
848,34,0,0,35,<=50K
849,51,0,0,8,<=50K
850,32,2829,0,40,<=50K
851,44,0,0,40,<=50K
852,40,0,0,50,>50K
853,62,0,0,40,>50K
854,37,0,0,60,<=50K
855,26,0,0,50,<=50K
856,37,0,0,25,<=50K
857,62,0,0,40,>50K
858,46,0,0,40,<=50K
859,51,0,0,60,>50K
860,42,0,0,50,<=50K
861,61,0,0,44,>50K
862,65,0,0,40,<=50K
863,44,15024,0,40,>50K
864,22,0,0,38,<=50K
865,50,0,0,40,<=50K
866,19,0,0,8,<=50K
867,44,0,0,60,<=50K
868,29,0,0,40,<=50K
869,48,0,0,40,>50K
870,55,0,0,80,<=50K
871,78,0,0,40,<=50K
872,43,0,0,40,<=50K
873,47,0,0,40,<=50K
874,22,0,0,30,<=50K
875,47,0,0,28,<=50K
876,24,0,0,50,<=50K
877,26,0,0,40,<=50K
878,38,0,0,50,<=50K
879,39,8614,0,40,>50K
880,24,0,0,40,<=50K
881,31,0,0,40,>50K
882,65,0,0,40,<=50K
883,19,0,0,78,<=50K
884,45,0,0,56,>50K
885,33,5178,0,50,>50K
886,61,0,0,40,<=50K
887,55,0,0,45,<=50K
888,27,0,0,42,<=50K
889,29,0,0,36,<=50K
890,40,0,0,60,>50K
891,36,0,0,40,<=50K
892,23,0,0,30,<=50K
893,49,0,0,50,<=50K
894,39,0,0,40,<=50K
895,47,27828,0,40,>50K
896,40,0,1902,40,>50K
897,40,0,2559,55,>50K
898,46,0,0,20,<=50K
899,35,0,0,40,<=50K
900,19,0,0,30,<=50K
901,42,4386,0,40,>50K
902,64,0,0,40,<=50K
903,49,0,0,40,<=50K
904,44,0,0,35,<=50K
905,64,0,0,60,>50K
906,23,0,0,60,<=50K
907,22,0,0,40,<=50K
908,22,0,0,40,<=50K
909,43,0,0,40,<=50K
910,34,0,0,37,<=50K
911,21,0,0,30,<=50K
912,21,0,0,40,<=50K
913,34,0,0,40,<=50K
914,68,0,0,20,<=50K
915,45,0,1977,52,>50K
916,33,0,0,38,<=50K
917,41,0,0,40,>50K
918,19,0,0,45,<=50K
919,30,0,0,40,<=50K
920,69,0,0,40,>50K
921,25,0,0,44,<=50K
922,36,0,0,30,<=50K
923,20,0,0,40,<=50K
924,38,0,0,40,<=50K
925,40,0,0,50,>50K
926,59,0,0,40,>50K
927,36,0,0,40,<=50K
928,33,0,0,40,>50K
929,31,0,0,40,<=50K
930,51,0,0,35,<=50K
931,31,0,0,35,<=50K
932,48,0,0,52,<=50K
933,52,0,0,40,<=50K
934,41,0,0,44,<=50K
935,40,0,0,40,<=50K
936,53,0,0,45,<=50K
